,p_nom,carrier,bus,efficiency,capital_cost,marginal_cost,build_year,lifetime
PLTD_Malinau,10.64,Oil,60,0.25,1.2,3,1996,25
PLTD_Malinau_Kaltimex,2,Oil,60,0.25,1.2,3,1996,25
PLTD_Malinau_Pemkab,7.672,Oil,60,0.25,1.2,3,1996,25
PLTD_Mangkatip,0.44,Oil,21,0.25,1.2,3,1984,25
PLTD_Manis_Mata,0.232,Oil,10,0.25,1.2,3,1997,25
PLTD_Manukung,0.232,Oil,9,0.25,1.2,3,1998,25
PLTD_Mara,0.5,Oil,63,0.25,1.2,3,1993,25
PLTD_Marabatuan,0.3,Oil,26,0.25,1.2,3,1993,25
PLTD_Marau,0.246,Oil,9,0.25,1.2,3,1990,25
PLTD_Melak,24.61,Oil,53,0.25,1.2,3,2001,25
PLTD_Melak_Kaltimex,6,Oil,53,0.25,1.2,3,2001,25
PLTD_Melak_Pemkab,5.2,Oil,53,0.25,1.2,3,2001,25
PLTD_Melak_Sewatama,4,Oil,53,0.25,1.2,3,2001,25
PLTD_Mendawai,1.352,Oil,17,0.25,1.2,3,1994,25
PLTD_Mentobi_Raya,1.7,Oil,13,0.25,1.2,3,2005,25
PLTD_Menyurai,12.21,Oil,10,0.25,1.2,3,1986,25
PLTD_Merasa,0.28,Oil,56,0.25,1.2,3,1994,25
PLTD_Merawan_Lama,0.28,Oil,21,0.25,1.2,3,1993,25
PLTD_Montalat,0.26,Oil,21,0.25,1.2,3,1996,25
PLTD_Muara_Aloh,0.16,Oil,42,0.25,1.2,3,1981,25
PLTD_Muara_Bengkal,4.548,Oil,59,0.25,1.2,3,1997,25
PLTD_Muara_Kedang,0.42,Oil,41,0.25,1.2,3,1991,25
PLTD_Muara_Komam,2.79,Oil,39,0.25,1.2,3,1982,25
PLTD_Muara_Laung,2.07,Oil,21,0.25,1.2,3,1987,25
PLTD_Muara_Muntai,1.5,Oil,42,0.25,1.2,3,1994,25
PLTD_Muara_Pahu,0.8,Oil,53,0.25,1.2,3,1992,25
PLTD_Muara_Pantuan,0.36,Oil,56,0.25,1.2,3,1998,25
PLTD_Muara_Plantau,0.18,Oil,36,0.25,1.2,3,1994,25
PLTD_Muara_Siran,0.18,Oil,53,0.25,1.2,3,1994,25
PLTD_Muara_Teweh,8.81,Oil,37,0.25,1.2,3,2004,25
