name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTD_Sekatak,61,0.6,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Sekatak_Pemkab,61,0.426,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Selor,63,19.384,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Selor_Makro,63,7.3,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Selor_Sewatama,63,2,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Semaras,26,0.15,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Semayang,42,0.18,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Semboja,10,6,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Semitau,9,4.748,Oil,0.25,1.2,3,2003,25,,,,,
PLTD_Senaning,10,0.488,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Sengayam,27,1.78,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Sentawar,53,24.61,Oil,0.25,1.2,3,2008,25,,,,,
PLTD_Senyiur,53,0.48,Oil,0.25,1.2,3,2002,25,,,,,
PLTD_Senyiur_Pemkab,53,0.4,Oil,0.25,1.2,3,2002,25,,,,,
PLTD_Sepaso,58,4.49,Oil,0.25,1.2,3,2000,25,,,,,
PLTD_Sepaso_Pemkab,58,0.92,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Sepuk_Laut,5,0.5,Oil,0.25,1.2,3,2014,25,,,,,
PLTD_Serawai,9,1.896,Oil,0.25,1.2,3,1988,25,,,,,
PLTD_Sewa_Kaltimex_Kotabaru,22,5.1,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Sewa_Kaltimex_Pangkalan_Bun,13,14,Oil,0.25,1.2,3,2012,25,,,,,
PLTD_Sewa_Kaltimex_Sampit,17,8,Oil,0.25,1.2,3,2012,25,,,,,
PLTD_Sewa_PGL_Pangkalan_Bun,13,4,Oil,0.25,1.2,3,2012,25,,,,,
PLTD_Sewa_Sentawar_Pemkab_Kubar,53,5.2,Oil,0.25,1.2,3,2016,25,,,,,
PLTD_Sewa_Tarakan,60,17,Oil,0.25,1.2,3,,25,,,,,
PLTD_Sewa_UPM_Pangkalan_Banteng,13,2.5,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Siantan,7,49.9,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Sidomulyo_Pinoh,9,0.576,Oil,0.25,1.2,3,2012,25,,,,,
PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,13,2.66,Oil,0.25,1.2,3,2021,25,,,,,
PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,13,1.33,Oil,0.25,1.2,3,2021,25,,,,,
PLTD_Sinar_Pekayau,10,0.505,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Sudirman,1,5.585,Oil,0.25,1.2,3,1982,25,,,,,
PLTD_Sukaharja,9,14.799,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Sukamandang,14,1.1,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Sukamara_#01_(MAN),13,0.536,Oil,0.25,1.2,3,2006,25,,,,,
PLTD_Sukamara_#02_(MAN),13,0.536,Oil,0.25,1.2,3,2009,25,,,,,
PLTD_Sukamara_#03_(MWM),13,0.22,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Sukamara_#04_(DEUTZ),13,0.24,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Sukamara_#05_(DEUTZ_AG),13,0.7,Oil,0.25,1.2,3,2000,25,,,,,
PLTD_Sukamara_#06_(MTU),13,0.528,Oil,0.25,1.2,3,2017,25,,,,,
PLTD_Sukamara_#07_(MITSUBITSI),13,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Sukamara_#08_(MITSUBITSI),13,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Sukamara_#09_(MITSUBITSI),13,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Sungai_Hanyu,18,0.38,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Tabang,39,0.53,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Tabisaq,39,0.52,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Talisayan,59,2.25,Oil,0.25,1.2,3,2013,25,,,,,
PLTD_Talisayan_Pemkab,59,0.8,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_Talisayan_PT_IPB,59,1,Oil,0.25,1.2,3,2013,25,,,,,
PLTD_Tanah_Grogot,41,3.19,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Tanah_Merah,61,0.43,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Tanjung_Aru,42,0.4,Oil,0.25,1.2,3,2002,25,,,,,
PLTD_Tanjung_Batu,22,1,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Tanjung_Batu,32,1.43,Oil,0.25,1.2,3,2000,25,,,,,
PLTD_Tanjung_Isuy,40,1.88,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Tanjung_Jawa,21,0.22,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Tanjung_Saleh,5,0.77,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_Tanjung_Samalantakan,35,0.49,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Tanjung_Satai,9,1.084,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Tanjung_Seloka,25,1.75,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Tapin_Bini,13,11.65,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Tarakan,60,15.264,Oil,0.25,1.2,3,,25,,,,,
