type,node0,lon0,lat0,id,bus0,location0,p_nom,carrier,type1,node1,lon1,lat1,bus1,location1,loc_connection
generator,PLTMH_Bora,111.775,-0.633,,,Kalimantan Barat,0.2,Run_of_River,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nanga_Silat,111.788,0.343,,,Kalimantan Barat,0.748,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kenambui,111.792,-2.476,,,Kalimantan Tengah,0.12,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sewa_UPM_Pangkalan_Banteng,111.824,-2.607,,,Kalimantan Tengah,2.5,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTBm_Korintiga_Hutani,111.824,-2.607,,,Kalimantan Tengah,3,Biomass,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTMH_Serawak_Energi_BHD_Badau_(B),111.872,1.033,,,Kalimantan Barat,0.32,Run_of_River,substation,GITET_Bengkayang,109.4966,0.9066,12,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Seberuang,111.888,0.465,,,Kalimantan Barat,0.162,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Badau,111.903,1.044,,,Kalimantan Barat,2.085,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Pangkut,111.92,-2.192,,,Kalimantan Tengah,0.8,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Tumbang_Manjul,111.928,-1.301,,,Kalimantan Tengah,0.498,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Semitau,111.96,0.543,,,Kalimantan Barat,4.748,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTBm_Kotawaringin_Barat,111.967,-2.052,,,Kalimantan Tengah,10,Biomass,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Pulau_Majang,111.994,0.901,,,Kalimantan Barat,0.156,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nanga_Ella,112.003,-0.398,,,Kalimantan Barat,1.445,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_ULD_Tewah,112.122,-1.936,,,Kalimantan Tengah,1.584,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Belikai,112.137,0.33,,,Kalimantan Barat,0.3,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nibung,112.178,0.334,,,Kalimantan Barat,0.08,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Tebidah,112.184,0.252,,,Kalimantan Barat,0.36,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Rantau_Pulut,112.186,-2.048,,,Kalimantan Tengah,0.96,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamandang,112.186,-2.048,,,Kalimantan Tengah,1.1,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Tontang,112.223,-0.269,,,Kalimantan Barat,0.216,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Manukung,112.227,-0.418,,,Kalimantan Barat,0.232,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Lanjak,112.238,1.034,,,Kalimantan Barat,0.66,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Telaga_Pulang,112.27,-2.864,,,Kalimantan Tengah,0.45,Oil,substation,GI_PLTU_Sampit,112.9101,-2.7625,15,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Jongkong,112.278,0.665,,,Kalimantan Barat,1.39,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Tepuai,112.303,0.37,,,Kalimantan Barat,3.99,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Ujung_Said,112.378,0.67,,,Kalimantan Barat,0.496,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_ULD_Tumbang_Senamang,112.425,-1.161,,,Kalimantan Tengah,0.46,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Serawai,112.439,-0.331,,,Kalimantan Barat,1.896,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTBg_Sukajadi_Sawit_Mekar,112.455,-2.399,,,Kalimantan Tengah,2.4,Biogas,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Ulak_Pauk,112.491,1.062,,,Kalimantan Barat,0.238,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTBg_Maju_Aneka_Sawit,112.542,-2.38,,,Kalimantan Tengah,1,Biogas,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#01_(MWM),112.545,-3.39,,,Kalimantan Tengah,0.22,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#05_(MITSUBISHI),112.545,-3.39,,,Kalimantan Tengah,1.33,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#06_(MITSUBISIH),112.545,-3.39,,,Kalimantan Tengah,1.33,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#07_(MITSUBISHI),112.545,-3.39,,,Kalimantan Tengah,1.33,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#08_(MITSUBISHI),112.545,-3.39,,,Kalimantan Tengah,1.33,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),112.545,-3.39,,,Kalimantan Tengah,0.528,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),112.545,-3.39,,,Kalimantan Tengah,0.528,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),112.545,-3.39,,,Kalimantan Tengah,0.528,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_Unit_7,112.545,-3.39,,,Kalimantan Tengah,1.33,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kuala_Pembuang_Unit_9,112.545,-3.39,,,Kalimantan Tengah,1,Oil,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
generator,PLTBg_Unggul_Lestari,112.598,-1.596,,,Kalimantan Tengah,1,Biogas,substation,GI_Sampit,112.9207,-2.4816,14,Kalimantan Tengah,Kalimantan Tengah
