type,node0,lon0,lat0,bus0,p_nom,carrier,voltage,type1,node1,lon1,lat1,bus1
generator,PLTD_Tebidah,112.184,0.252,,0.36,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Rantau_Pulut,112.186,-2.048,,0.96,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Sukamandang,112.186,-2.048,,1.1,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Tontang,112.223,-0.269,,0.216,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Manukung,112.227,-0.418,,0.232,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Lanjak,112.238,1.034,,0.66,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Telaga_Pulang,112.27,-2.864,,0.45,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Jongkong,112.278,0.665,,1.39,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Tepuai,112.303,0.37,,3.99,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Ujung_Said,112.378,0.67,,0.496,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_ULD_Tumbang_Senamang,112.425,-1.161,,0.46,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Serawai,112.439,-0.331,,1.896,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTBg_Sukajadi_Sawit_Mekar,112.455,-2.399,,2.4,Biogas,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Ulak_Pauk,112.491,1.062,,0.238,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTBg_Maju_Aneka_Sawit,112.542,-2.38,,1,Biogas,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#01_(MWM),112.545,-3.39,,0.22,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#05_(MITSUBISHI),112.545,-3.39,,1.33,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#06_(MITSUBISIH),112.545,-3.39,,1.33,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#07_(MITSUBISHI),112.545,-3.39,,1.33,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#08_(MITSUBISHI),112.545,-3.39,,1.33,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),112.545,-3.39,,0.528,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),112.545,-3.39,,0.528,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),112.545,-3.39,,0.528,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_Unit_7,112.545,-3.39,,1.33,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kuala_Pembuang_Unit_9,112.545,-3.39,,1,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTBg_Unggul_Lestari,112.598,-1.596,,1,Biogas,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Embaloh,112.602,0.831,,0.601,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_UPM_Parenggean,112.653,-1.881,,2.5,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Bunut,112.655,0.528,,0.57,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_ULD_Tumbang_Hiran,112.691,-1.188,,0.56,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Kemangai,112.71,-0.243,,0.216,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Piasak,112.723,0.659,,0.222,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
substation,GI_PLTU_Sampit,112.9101,-2.7625,15,,,150,#VALUE!,,,,
substation,GI_Sampit,112.9207,-2.4816,14,,,150,#VALUE!,,,,
generator,PLTD_Sawai,112.927,0.885,,12.485,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Rayon_Sampit,112.969,-2.516,,3.88,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
generator,PLTD_Sewa_Kaltimex_Sampit,112.97,-2.516,,8,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
generator,PLTD_ULD_Tumbang_Kaman,113.093,-1.346,,1.22,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Nanga_Erak,113.154,0.372,,0.57,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Mendawai,113.269,-2.989,,1.352,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
generator,PLTD_ULD_Telaga,113.33,-2.421,,0.12,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
generator,PLTD_Pagatan,113.33,-3.256,,5,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
generator,PLTD_ULD_Tumbang_Talaken,113.378,-1.361,,1,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
substation,GI_Kasongan,113.4337,-1.9002,16,,,150,#VALUE!,,,,
generator,PLTD_ULD_Tumbang_Miri,113.55,-0.916,,1.06,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,113.567,-1.374,,115.034,Coal,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,113.567,-1.374,,115.034,Coal,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_ULD_Tumbang_Jutuh,113.572,-1.289,,2.1,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Sebangau,113.639,-3.148,,0.44,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
generator,PLTD_ULD_Tumbang_Tambirah,113.823,-1.065,,0.16,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_ULD_Tumbang_Miwan,113.872,-1.217,,0.616,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_#03_MITSUBISHI),113.872,-1.117,,1.33,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_#04_MITSUBISHI),113.872,-1.117,,1.33,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_#05_MITSUBISHI),113.872,-1.117,,1.33,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_Unit_2-3,113.872,-1.117,,2.66,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_Unit_4,113.872,-1.117,,1.33,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_#01_(MWM),113.873,-1.117,,0.22,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
generator,PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),113.873,-1.117,,0.528,Oil,,substation,GI_Kasongan,113.4337,-1.9002,16
substation,GI_Palangkaraya,113.8739,-2.1748,17,,,150,#VALUE!,,,,
generator,PLTD_Kahayan/Area_Palangka_Raya,113.874,-1.827,,17.45,Oil,,substation,GI_Palangkaraya,113.8739,-2.1748,17
substation,GI_Sebangau,113.9302,-2.2748,18,,,150,#VALUE!,,,,
generator,PLTD_Sungai_Hanyu,114.016,-0.927,,0.38,Oil,,substation,GI_Sebangau,113.9302,-2.2748,18
substation,GI_S_Mintin,114.2086,-2.8214,20,,,150,#VALUE!,,,,
generator,PLTU_Pulang_Pisau_#01,114.209,-2.823,,60,Coal,,substation,GI_S_Mintin,114.2086,-2.8214,20
generator,PLTU_Pulang_Pisau_#02,114.209,-2.823,,60,Coal,,substation,GI_S_Mintin,114.2086,-2.8214,20
substation,GI_Pulau_Pisang,114.2547,-2.7316,19,,,150,#VALUE!,,,,
generator,PLTD_Tumbang_Lahung,114.302,-0.695,,0.38,Oil,,substation,GI_Pulau_Pisang,114.2547,-2.7316,19
generator,PLTD_Pujon,114.364,-1.349,,0.981,Oil,,substation,GI_Pulau_Pisang,114.2547,-2.7316,19
substation,GI_Selat,114.3736,-3.0121,21,,,150,#VALUE!,,,,
generator,PLTD_Kuala_Kapuas,114.374,-3.012,,6,Oil,,substation,GI_Selat,114.3736,-3.0121,21
generator,PLTD_Timpah,114.479,-1.719,,1.108,Oil,,substation,GI_Selat,114.3736,-3.0121,21
generator,PLTD_Long_Apari,114.534,0.812,,0.64,Oil,,substation,GI_Selat,114.3736,-3.0121,21
substation,GI_Seberang_Barito,114.5522,-3.2767,22,,,150,#VALUE!,,,,
generator,PLTU_PT._Wijaya_Triutama_Plywood_Industri,114.562,-3.336,,45,Coal,,substation,GI_Seberang_Barito,114.5522,-3.2767,22
generator,PLTG_Trisakti,114.57,-3.31,,21,Oil,,substation,GI_Seberang_Barito,114.5522,-3.2767,22
substation,GI_Trisakti,114.571,-3.3094,23,,,150,#VALUE!,,,,
generator,PLTD_Trisakti,114.572,-3.31,,54.2,Oil,,substation,GI_Trisakti,114.571,-3.3094,23
generator,PLTD_Puruk_Cahu,114.583,-0.583,,2.19,Oil,,substation,GI_Trisakti,114.571,-3.3094,23
substation,GI_Kayutangi,114.6205,-3.2304,33,,,150,#VALUE!,,,,
substation,GI_Mantuil,114.627,-3.4236,24,,,150,#VALUE!,,,,
generator,PLTD_Long_Pahangai,114.709,0.883,,0.6,Oil,,substation,GI_Kayutangi,114.6205,-3.2304,33
generator,PLTD_Muara_Laung,114.732,-0.599,,2.07,Oil,,substation,GI_Mantuil,114.627,-3.4236,24
substation,GI_Bandara,114.7553,-3.4725,30,,,150,#VALUE!,,,,
substation,GI_Pelaihari,114.7576,-3.7296,29,,,150,#VALUE!,,,,
generator,PLTD_Tumpung_Laung,114.816,-1.321,,1.04,Oil,,substation,GI_Bandara,114.7553,-3.4725,30
generator,PLTD_Buntok,114.822,-1.745,,4.01,Oil,,substation,GI_Pelaihari,114.7576,-3.7296,29
generator,PLTD_Tanjung_Jawa,114.835,-1.565,,0.22,Oil,,substation,GI_Pelaihari,114.7576,-3.7296,29
generator,PLTD_Babai,114.836,-1.954,,0.4,Oil,,substation,GI_Pelaihari,114.7576,-3.7296,29
substation,GI_Cempaka,114.8499,-3.4658,28,,,150,#VALUE!,,,,
generator,PLTD_Mangkatip,114.851,-2.224,,0.44,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Teluk_Betung,114.863,-1.978,,0.26,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
substation,GI_Muara_Teweh,114.8658,-0.8672,37,,,150,#VALUE!,,,,
generator,PLTD_Damparan,114.868,-2.138,,0.44,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Rangga_Ilung,114.871,-2.34,,0.5,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
