name,bus,p_nom,carrier,marginal_cost,",name,bus,p_nom,carrier,marginal_cost,",,plant_type,$/MWh
PLTU_PT._Wijaya_Triutama_Plywood_Industri,28,45,Coal,0.13,",PLTU_PT._Wijaya_Triutama_Plywood_Industri,28,45,Coal,0.13,",,,
PLTG_Trisakti,23,21,Oil,3,",PLTG_Trisakti,23,21,Oil,3,",,,
PLTD_Trisakti,23,54.2,Oil,3,",PLTD_Trisakti,23,54.2,Oil,3,",,,
PLTD_Puruk_Cahu,21,2.19,Oil,3,",PLTD_Puruk_Cahu,21,2.19,Oil,3,",,,
PLTD_Long_Pahangai,39,0.6,Oil,3,",PLTD_Long_Pahangai,39,0.6,Oil,3,",,,
PLTD_Muara_Laung,21,2.07,Oil,3,",PLTD_Muara_Laung,21,2.07,Oil,3,",,,
PLTD_Tumpung_Laung,21,1.04,Oil,3,",PLTD_Tumpung_Laung,21,1.04,Oil,3,",,,
PLTD_Buntok,21,4.01,Oil,3,",PLTD_Buntok,21,4.01,Oil,3,",,,
PLTD_Tanjung_Jawa,21,0.22,Oil,3,",PLTD_Tanjung_Jawa,21,0.22,Oil,3,",,,
PLTD_Babai,21,0.4,Oil,3,",PLTD_Babai,21,0.4,Oil,3,",,,
PLTD_Mangkatip,21,0.44,Oil,3,",PLTD_Mangkatip,21,0.44,Oil,3,",,,
PLTD_Teluk_Betung,21,0.26,Oil,3,",PLTD_Teluk_Betung,21,0.26,Oil,3,",,,
PLTD_Damparan,21,0.44,Oil,3,",PLTD_Damparan,21,0.44,Oil,3,",,,
PLTD_Rangga_Ilung,21,0.5,Oil,3,",PLTD_Rangga_Ilung,21,0.5,Oil,3,",,,
PLTD_Pendang,21,0.3,Oil,3,",PLTD_Pendang,21,0.3,Oil,3,",,,
PLTD_Muara_Teweh,37,8.81,Oil,3,",PLTD_Muara_Teweh,37,8.81,Oil,3,",,,
PLTD_Merawan_Lama,21,0.28,Oil,3,",PLTD_Merawan_Lama,21,0.28,Oil,3,",,,
PLTD_Montalat,21,0.26,Oil,3,",PLTD_Montalat,21,0.26,Oil,3,",,,
PLTD_Kayan_Hulu,63,1.275,Oil,3,",PLTD_Kayan_Hulu,63,1.275,Oil,3,",,,
PLTD_Bundar,21,0.12,Oil,3,",PLTD_Bundar,21,0.12,Oil,3,",,,
PLTD_Luwe_Hulu,37,0.48,Oil,3,",PLTD_Luwe_Hulu,37,0.48,Oil,3,",,,
PLTD_Sabuh,37,0.22,Oil,3,",PLTD_Sabuh,37,0.22,Oil,3,",,,
PLTD_Muara_Plantau,36,0.18,Oil,3,",PLTD_Muara_Plantau,36,0.18,Oil,3,",,,
PLTA_IR._PM_Noor,24,30,Run_of_River,3,",PLTA_IR._PM_Noor,24,30,Run_of_River,3,",,,
PLTD_Benangin,36,0.36,Oil,3,",PLTD_Benangin,36,0.36,Oil,3,",,,
PLTD_Asam_Asam,25,8.4,Oil,3,",PLTD_Asam_Asam,25,8.4,Oil,3,",,,
PLTU_Asam_Asam_#01,25,65,Coal,0.13,",PLTU_Asam_Asam_#01,25,65,Coal,0.13,",,,
PLTU_Asam_Asam_#02,25,65,Coal,0.13,",PLTU_Asam_Asam_#02,25,65,Coal,0.13,",,,
PLTU_Asam_Asam_#03,25,65,Coal,0.13,",PLTU_Asam_Asam_#03,25,65,Coal,0.13,",,,
PLTU_Asam_Asam_#04,25,65,Coal,0.13,",PLTU_Asam_Asam_#04,25,65,Coal,0.13,",,,
PLTD_Kandui,36,1.13,Oil,3,",PLTD_Kandui,36,1.13,Oil,3,",,,
PLTU_Rimau_Electric,38,7,Coal,0.13,",PLTU_Rimau_Electric,38,7,Coal,0.13,",,,
PLTMG_Bangkanai_Blok_#01,38,39.076,Gas,0.13,",PLTMG_Bangkanai_Blok_#01,38,39.076,Gas,0.13,",,,
PLTMG_Bangkanai_Blok_#02,38,39.076,Gas,0.13,",PLTMG_Bangkanai_Blok_#02,38,39.076,Gas,0.13,",,,
PLTMG_Bangkanai_Blok_#03,38,39.076,Gas,0.13,",PLTMG_Bangkanai_Blok_#03,38,39.076,Gas,0.13,",,,
PLTMG_Bangkanai_Blok_#04,38,39.076,Gas,0.13,",PLTMG_Bangkanai_Blok_#04,38,39.076,Gas,0.13,",,,
