type,node0,node1,coords0,coords1,lon0,lat0,lon1,lat1,length_m
generator,PLTD_Muara_Wahau_Altrak,,,,116.843,1.045,,,
generator,PLTD_Batu_Ampar,,,,116.831,0.679,,,
generator,PLTD_Senyiur,,,,116.623,0.312,,,
generator,PLTD_Senyiur_Pemkab,,,,116.623,0.312,,,
generator,PLTD_Long_Segar,,,,116.821,0.798,,,
generator,PLTD_Gemar_Baru,,,,116.376,0.801,,,
generator,PLTD_Gemar_Baru_Pemkab,,,,116.376,0.801,,,
generator,PLTD_Muara_Pantuan,,,,117.569,-0.58,,,
generator,PLTD_Melak_Pemkab,,,,115.832,-0.212,,,
generator,PLTD_Melak_Sewatama,,,,115.831,-0.212,,,
generator,PLTD_Melak_Kaltimex,,,,115.832,-0.212,,,
generator,PLTD_Long_Iram,,,,115.633,0.013,,,
generator,PLTD_Long_Iram_Pemkab,,,,115.633,0.013,,,
generator,PLTD_Muara_Pahu,,,,116.064,-0.325,,,
generator,PLTD_Datah_Bilang,,,,115.464,0.226,,,
generator,PLTD_Long_Bagun,,,,115.237,0.226,,,
generator,PLTD_Long_Bagun_Pemkab,,,,115.257,0.206,,,
generator,PLTD_Dilang_Putih,,,,115.766,-0.717,,,
generator,PLTD_Tabisaq,,,,115.921,-0.497,,,
generator,PLTD_Kelumpang,,,,115.823,-0.173,,,
generator,PLTD_Muara_Muntai,,,,116.474,-0.643,,,
generator,PLTD_Penyinggahan,,,,116.223,-0.387,,,
generator,PLTD_Tanjung_Isuy,,,,116.14,-0.514,,,
generator,PLTD_Muara_Siran,,,,116.636,-0.128,,,
generator,PLTD_Muara_Kedang,,,,116.298,-0.567,,,
generator,PLTD_Semayang,,,,116.452,-0.183,,,
generator,PLTD_Jantur,,,,116.29,-0.42,,,
generator,PLTD_Tabang,,,,115.927,0.673,,,
generator,PLTD_Muara_Aloh,,,,116.352,-0.432,,,
generator,PLTD_Sedulang,,,,116.811,-0.125,,,
generator,PLTD_Long_Apari,,,,114.534,0.812,,,
generator,PLTD_Long_Pahangai,,,,114.709,0.883,,,
generator,PLTBg_Rea_Kaltim,,,,115.801,-0.242,,,
generator,PLTD_Samabliung_Kaltimex,,,,117.511,2.158,,,
generator,PLTD_Bunyu,,,,117.845,3.469,,,
generator,PLTD_Atap,,,,117.049,3.855,,,
generator,PLTD_Tanah_Merah,,,,117.54,3.764,,,
generator,PLTD_Sekatak_Pemkab,,,,117.07,3.307,,,
generator,PLTD_Sekatak,,,,117.07,3.307,,,
generator,PLTD_Malinau_Pemkab,,,,116.611,3.541,,,
generator,PLTD_Biduk-Biduk,,,,118.746,1.216,,,
generator,PLTD_Malinau_Kaltimex,,,,116.611,3.541,,,
generator,PLTD_KTT_Pemkab,,,,116.933,3.608,,,
generator,PLTD_KTT,,,,116.933,3.608,,,
generator,PLTD_Selor_Sewatama,,,,117.386,2.832,,,
generator,PLTD_Selor_Makro,,,,117.386,2.832,,,
generator,PLTD_Long_Peso,,,,116.781,2.691,,,
generator,PLTD_Mara,,,,116.239,2.75,,,
generator,PLTD_Long_Beluah,,,,116.121,2.738,,,
generator,PLTD_Nunukan,,,,117.64,4.134,,,
generator,PLTD_Nunukan_Pemkab,,,,117.64,4.134,,,
generator,PLTD_Sebatik,,,,117.909,4.147,,,
generator,PLTS_Sebatik,,,,117.909,4.147,,,
generator,PLTD_Tanjung_Batu,,,,118.092,2.278,,,
generator,PLTD_Talisayan_Pemkab,,,,118.177,1.605,,,
generator,PLTD_Talisayan,,,,118.177,1.605,,,
generator,PLTD_Talisayan_PT_IPB,,,,118.177,1.605,,,
generator,PLTBm_Talisayan_DL,,,,118.177,1.605,,,
generator,PLTD_Gunung_Sari,,,,117.116,2.185,,,
generator,PLTBm_Gunung_Sari_HHM,,,,117.117,2.185,,,
generator,PLTD_Derawan,,,,118.243,2.286,,,
generator,PLTS_Derawan,,,,118.243,2.286,,,
generator,PLTD_Batu_Putih,,,,118.446,1.352,,,
generator,PLTD_Merasa,,,,117.251,1.806,,,
generator,PLTD_Tubaan,,,,117.859,1.818,,,
generator,PLTD_Krayan,,,,115.7,3.883,,,
generator,PLTMH_Krayan_Pemkab,,,,115.7,3.883,,,
generator,PLTMH_Krayan,,,,115.7,3.883,,,
generator,PLTD_Seimenggaris,,,,117.341,4.188,,,
generator,PLTS_Seimenggaris_ESDM,,,,117.341,4.188,,,
generator,PLTD_Sebuku,,,,117.023,4.063,,,
