node,type,location,lon,lat,p_nom,carrier,marginal_cost,owner,build_year,bus,voltage
PLTD Kuala Jelai,generator,Kalimantan Tengah,110.739,-2.985,0.92,Oil,,PLN,1983,,
PLTD Balai Riam,generator,Kalimantan Tengah,111.182,-2.992,0.54,Oil,,PLN,1982,,
PLTD Mentobi Raya,generator,Kalimantan Tengah,111.694,-1.986,1.7,Oil,,PLN,2005,,
PLTD Kudangan,generator,Kalimantan Tengah,111.043,-1.61,0.29,Oil,,PLN,1994,,
PLTD Tapin Bini,generator,Kalimantan Tengah,111.317,-1.892,11.65,Oil,,PLN,1994,,
PLTBg Maju Aneka Sawit,generator,Kalimantan Tengah,112.542,-2.38,1,Biogas,,Excess Power,2014,,
PLTBg Sukajadi Sawit Mekar,generator,Kalimantan Tengah,112.455,-2.399,2.4,Biogas,,Excess Power,2014,,
PLTBg Unggul Lestari,generator,Kalimantan Tengah,112.598,-1.596,1,Biogas,,Excess Power,2014,,
PLTD UPM Parenggean,generator,Kalimantan Tengah,112.653,-1.881,2.5,Oil,,BUMN,2016,,
PLTBm Korintiga Hutani,generator,Kalimantan Tengah,111.824,-2.607,3,Biomass,,Excess Power,2014,,
PLTD Gn. Batu Besar,generator,Kalimantan Selatan,116.294,-2.622,0.51,Oil,,PLN,1993,,
PLTD Sei Bali,generator,Kalimantan Selatan,116.407,-3.408,1.67,Oil,,PLN,1990,,
PLTD Semaras,generator,Kalimantan Selatan,116.082,-3.823,0.15,Oil,,PLN,1993,,
PLTD Lontar,generator,Kalimantan Selatan,116.064,-3.978,2.62,Oil,,BUMN,1991,,
PLTD Kerasian,generator,Kalimantan Selatan,116.203,-4.027,0.33,Oil,,PLN,2004,,
PLTD Tanjung Seloka,generator,Kalimantan Selatan,116.306,-3.9,1.75,Oil,,PLN,1996,,
PLTD Geronggang,generator,Kalimantan Selatan,116.207,-2.857,1.85,Oil,,PLN,1996,,
PLTD Tanjung Batu,generator,Kalimantan Selatan,116.222,-3.005,1,Oil,,PLN,1983,,
PLTD Sampanahan,generator,Kalimantan Selatan,116.187,-2.641,1.77,Oil,,PLN,1985,,
