" ,node,type,lon,lat,p_nom, "
" ,PLTD_Mangkatip,generator,114.851,-2.224,0.44, "
" ,PLTD_Teluk_Betung,generator,114.863,-1.978,0.26, "
" ,PLTD_Rangga_Ilung,generator,114.871,-2.34,0.5, "
" ,PLTD_Damparan,generator,114.868,-2.138,0.44, "
" ,PLTD_Benangin,generator,115.088,-0.978,0.36, "
" ,PLTD_Tumpung_Laung,generator,114.816,-1.321,1.04, "
" ,PLTD_Luwe_Hulu,generator,114.941,-0.795,0.48, "
" ,PLTD_Montalat,generator,114.894,-1.323,0.26, "
" ,PLTD_Kandui,generator,115.119,-1.257,1.13, "
" ,PLTD_Sabuh,generator,114.976,-0.971,0.22, "
" ,PLTD_Muara_Laung,generator,114.732,-0.599,2.07, "
" ,PLTD_Tumbang_Lahung,generator,114.302,-0.695,0.38, "
" ,PLTD_PT._Kaltimex_Energy_(Puruk_Cahu),generator,114.583,-0.583,4.5, "
" ,PLTD_Karangan,generator,117.673,1.35,1, "
" ,PLTBm_Karangan_DL,generator,117.673,1.35,0.35, "
" ,PLTD_Pengadan,generator,117.673,1.35,0.62, "
" ,PLTD_Muara_Wahau_Altrak,generator,116.843,1.045,3, "
" ,PLTD_Batu_Ampar,generator,116.831,0.679,0.4, "
" ,PLTD_Senyiur,generator,116.623,0.312,0.48, "
" ,PLTD_Senyiur_Pemkab,generator,116.623,0.312,0.4, "
" ,PLTD_Long_Segar,generator,116.821,0.798,0.44, "
" ,PLTD_Gemar_Baru,generator,116.376,0.801,0.48, "
" ,PLTD_Gemar_Baru_Pemkab,generator,116.376,0.801,0.2, "
" ,PLTD_Muara_Pantuan,generator,117.569,-0.58,0.36, "
" ,PLTD_Melak_Pemkab,generator,115.832,-0.212,5.2, "
" ,PLTD_Melak_Sewatama,generator,115.831,-0.212,4, "
" ,PLTD_Melak_Kaltimex,generator,115.832,-0.212,6, "
" ,PLTD_Long_Iram,generator,115.633,0.013,1.44, "
" ,PLTD_Long_Iram_Pemkab,generator,115.633,0.013,0.5, "
" ,PLTD_Muara_Pahu,generator,116.064,-0.325,0.8, "
" ,PLTD_Datah_Bilang,generator,115.464,0.226,0.54, "
" ,PLTD_Long_Bagun,generator,115.237,0.226,0.3, "
" ,PLTD_Long_Bagun_Pemkab,generator,115.257,0.206,0.52, "
" ,PLTD_Dilang_Putih,generator,115.766,-0.717,0.22, "
" ,PLTD_Tabisaq,generator,115.921,-0.497,0.52, "
" ,PLTD_Kelumpang,generator,115.823,-0.173,0.12, "
" ,PLTD_Muara_Muntai,generator,116.474,-0.643,1.5, "
" ,PLTD_Penyinggahan,generator,116.223,-0.387,0.56, "
" ,PLTD_Tanjung_Isuy,generator,116.14,-0.514,1.88, "
" ,PLTD_Muara_Siran,generator,116.636,-0.128,0.18, "
" ,PLTD_Muara_Kedang,generator,116.298,-0.567,0.42, "
" ,PLTD_Semayang,generator,116.452,-0.183,0.18, "
" ,PLTD_Jantur,generator,116.29,-0.42,0.724, "
" ,PLTD_Tabang,generator,115.927,0.673,0.53, "
" ,PLTD_Muara_Aloh,generator,116.352,-0.432,0.16, "
" ,PLTD_Sedulang,generator,116.811,-0.125,0.44, "
