" ,node,type,node1,lon,lat,length_m, "
" ,PLTMG_MPP_Kaltim_#03,generator,,117.454,0.138,, "
" ,PLTMG_MPP_Kaltim_#04,generator,,117.454,0.138,, "
" ,PLTMG_MPP_Kaltim_#01,generator,,117.454,0.138,, "
" ,PLTMG_MPP_Kaltim_#02,generator,,117.454,0.138,, "
" ,PLTMG_Bontang_Wartsila_#02,generator,,117.454,0.137,, "
" ,PLTU_Teluk_Balikpapan_#01,generator,,116.789,-1.17,, "
" ,PLTU_Teluk_Balikpapan_#02,generator,,116.789,-1.17,, "
" ,PLTGU_Tanjung_Batu_#01,generator,,117.051,-0.382,, "
" ,PLTGU_Tanjung_Batu_#02,generator,,117.051,-0.381,, "
" ,PLTGU_Tanjung_Batu_#03,generator,,117.051,-0.381,, "
" ,PLTG_Peaking_#01,generator,,117.052,-0.384,, "
" ,PLTG_Peaking_#02,generator,,117.052,-0.384,, "
" ,PLTG_Sambera_#01,generator,,117.291,-0.317,, "
" ,PLTG_Sambera_#02,generator,,117.292,-0.317,, "
" ,PLTG_Siantan,generator,,109.327,-0.001,, "
" ,PLTU_Parit_Baru_Site Bengkayang #01,generator,,108.874,0.837,, "
" ,PLTU_Sanggau_#01,generator,,110.556,0.03,, "
" ,PLTU_Sanggau_#02,generator,,110.556,0.03,, "
" ,PLTU_Sintang_#01,generator,,111.434,0.074,, "
